Surfactant Concentration (M),Loss Modulus (Pa)
1,5.238679235114641,0.96% Ag
9,4.560527835570823,0.96% Ag
10,4.5300782568318,0.96% Ag
14,4.398931225563781,0.96% Ag
15,4.385731558926485,0.96% Ag
16,4.361305790346208,0.96% Ag
19,4.3084352978690745,0.96% Ag
1,-0.5608682180289559,0.67% Ag
9,-1.1570366499218414,0.67% Ag
10,-1.1828465683226568,0.67% Ag
14,-1.219601845747215,0.67% Ag
15,-1.223721271028093,0.67% Ag
16,-1.2262601641193673,0.67% Ag
19,-1.2314213033542887,0.67% Ag
1,-0.5359343876167573,0.21% Ag
9,11.66468500818925,0.21% Ag
10,9.20582372331734,0.21% Ag
14,5.434713447081133,0.21% Ag
15,102.61377898365085,0.21% Ag
16,-15.698865982661413,0.21% Ag
19,773.0474414356421,0.21% Ag
