Filler Content (%),Viscosity (Pa·s)
0,-1.3445175971785417,PS-I
6,3.812971643540096,PS-I
7,4.460283859431071,PS-I
11,33.4491745715673,PS-I
17,87.84277350705428,PS-I
0,5.84241468876793,Poly(methyl acrylate)
6,4.9268801450591235,Poly(methyl acrylate)
7,4.843230904903453,Poly(methyl acrylate)
11,4.7730688378087365,Poly(methyl acrylate)
17,4.740762811514438,Poly(methyl acrylate)
0,3.113694740892784,Polyimide
6,2.5069066197813084,Polyimide
7,2.513292589599408,Polyimide
11,2.352089531738564,Polyimide
17,2.1923874418261313,Polyimide
0,0.5177231440655683,P(Baph)
6,2.672959670928705,P(Baph)
7,1.0378790225585202,P(Baph)
11,1.9358877797257747,P(Baph)
17,14.283106242835485,P(Baph)
0,-6.6310747294068095,Polyphenylsulfone
6,-7.049412420919046,Polyphenylsulfone
7,-7.1048030966193245,Polyphenylsulfone
11,-7.300357240318116,Polyphenylsulfone
17,-7.449828729062806,Polyphenylsulfone
