Electric Field (V/m),Viscosity (Pa·s)
0,-2.1371193138584283,1.0% polyaniline/PBA
1,-2.0647883135455105,1.0% polyaniline/PBA
17,-2.7952855733861797,1.0% polyaniline/PBA
0,4.887427507342352,0.47% polyaniline/PBA
1,4.993661703741824,0.47% polyaniline/PBA
17,265.2042530446549,0.47% polyaniline/PBA
0,-5.287231913077471,0.86% polyaniline/PBA
1,-5.572246874838496,0.86% polyaniline/PBA
17,-6.151199799699103,0.86% polyaniline/PBA
0,-6.110449813558984,0.95% polyaniline/PBA
1,-5.522454028852894,0.95% polyaniline/PBA
17,-6.916872786926892,0.95% polyaniline/PBA
0,4.261323163485766,0.42% polyaniline/PBA
1,4.173099302111302,0.42% polyaniline/PBA
17,3.4127382108008844,0.42% polyaniline/PBA
