EV (V),Magnetization (A/m)
2.652676628581796,5.464684737385037,
4.558214438780681,4.981475636947544,
13.836650856614508,4.686353593978323,
14.488327302867358,4.681877863550876,
17.544712729294133,4.60475252873088,
17.91647948365845,4.594322777305243,
5.214387900244965,5.692859313772849,
5.539017097739096,5.650428292101845,
6.75467328188458,5.6471158626377145,
6.795251850393102,5.583251593143297,
7.912700203993266,5.575760389029106,
18.628953501536238,5.24809501736446,
0,8.119305048312581,
2,7.582894072042706,
4,8.260903860991291,
5,8.43230239588003,
11,12.584989772685946,
16,10.170445133933383,
