Loading Concentration (%),Galvanic Potential (V)
3.89328181976059,9.83023338431866,PAN
6.150184260171406,10.876878932088264,PAN
7.890078449344726,8.258508588891068,PAN
8.33790722801764,10.743069045094698,PAN
8.990807234405134,8.306677229305906,PAN
16.24846268670849,20.731946964475448,PAN
3.89328181976059,6.665830437954986,Poly(vinyl alcohol)
6.150184260171406,6.51134394857741,Poly(vinyl alcohol)
7.890078449344726,6.418155404537525,Poly(vinyl alcohol)
8.33790722801764,6.40102712318902,Poly(vinyl alcohol)
8.990807234405134,6.396328754362073,Poly(vinyl alcohol)
16.24846268670849,6.336491539084394,Poly(vinyl alcohol)
3.89328181976059,-6.492137815071696,PR
6.150184260171406,-6.6387490450514095,PR
7.890078449344726,-6.722193501355167,PR
8.33790722801764,-6.7819317030011925,PR
8.990807234405134,-6.83254327844258,PR
16.24846268670849,-7.013977422017193,PR
3.89328181976059,4.833579916837318,PMMA-PnBA-PMMA
6.150184260171406,4.659418674211589,PMMA-PnBA-PMMA
7.890078449344726,4.580175878464952,PMMA-PnBA-PMMA
8.33790722801764,4.556805145269927,PMMA-PnBA-PMMA
8.990807234405134,4.559217193298957,PMMA-PnBA-PMMA
16.24846268670849,4.499090553404067,PMMA-PnBA-PMMA
3.89328181976059,3.494215182013699,PEKK
6.150184260171406,6.3176665215182926,PEKK
7.890078449344726,10.37119069705531,PEKK
8.33790722801764,18.238323167267012,PEKK
8.990807234405134,16.94531385334325,PEKK
16.24846268670849,83.51754819878698,PEKK
