Solvent Concentration (M),Young’s Modulus (GPa)
6.056650503061675,-7.76611602904215,0.83% Al2O3/XNBR
6.545835999234482,-7.755578838822014,0.83% Al2O3/XNBR
7.992962232120906,-7.826300570264711,0.83% Al2O3/XNBR
10.641046702365788,-7.870141248777634,0.83% Al2O3/XNBR
13.618709146338388,-7.892028227557695,0.83% Al2O3/XNBR
17.435645760999606,-7.903254119552095,0.83% Al2O3/XNBR
1.1292312245564262,5.030635713420215,0.39% Al2O3/XNBR
1.320785768331394,5.142548858931923,0.39% Al2O3/XNBR
4.879873780072974,4.580620073187688,0.39% Al2O3/XNBR
11.200716148400362,4.354201814254463,0.39% Al2O3/XNBR
14.777394143141327,4.33286456621434,0.39% Al2O3/XNBR
19.909635453094914,4.323134728942898,0.39% Al2O3/XNBR
0.29351309459619834,5.501368147806981,0.35% Al2O3/XNBR
8.257203351936715,4.729304012125409,0.35% Al2O3/XNBR
12.873463566423478,4.656722458449029,0.35% Al2O3/XNBR
16.107333099603032,4.642865344892639,0.35% Al2O3/XNBR
16.823295004166933,4.640681381569804,0.35% Al2O3/XNBR
17.504444081812757,4.639711556048884,0.35% Al2O3/XNBR
5,4.981464110570126,0.49% Al2O3/XNBR
6,4.939746417228641,0.49% Al2O3/XNBR
8,4.793913004943772,0.49% Al2O3/XNBR
14,4.6120128072907045,0.49% Al2O3/XNBR
15,4.598406177080606,0.49% Al2O3/XNBR
18,4.5391624258145296,0.49% Al2O3/XNBR
