Hardness (HV),Elastic Modulus (GPa)
12.963116614539407,5.656597545973875,carbon nanofibers/PCTFE
17.70370843255679,5.572325964925117,carbon nanofibers/PCTFE
17.925352329496565,5.563383213939559,carbon nanofibers/PCTFE
19.09631987387886,5.546104778202823,carbon nanofibers/PCTFE
19.395893207810854,5.547818762119987,carbon nanofibers/PCTFE
3.039455611126627,-3.5748736516684114,Copper phenylphosphate/PCTFE
4.644378139584853,-2.7429386510795593,Copper phenylphosphate/PCTFE
14.347158315518433,66.03343593262257,Copper phenylphosphate/PCTFE
16.71509437390775,47.26874648262101,Copper phenylphosphate/PCTFE
18.05629045635644,364.9558906125702,Copper phenylphosphate/PCTFE
7.8033738939398445,-3.921336883913696,MWNT/PCTFE
9.75848353554207,-4.0100235159661946,MWNT/PCTFE
12.839911478275647,-4.139661868467893,MWNT/PCTFE
14.674955820210299,-4.204025014022622,MWNT/PCTFE
16.50711232545027,-4.210415186430433,MWNT/PCTFE
