Filler Content (%),Thermal Diffusivity (mm²/s)
2,9.89753633588926,Bentonite/TGDDM
3,11.068443774887127,Bentonite/TGDDM
7,16.503932421242098,Bentonite/TGDDM
13,10.22871120874489,Bentonite/TGDDM
14,20.63396339657256,Bentonite/TGDDM
15,229.0044744028282,Bentonite/TGDDM
0,-0.5599641456415103,CaCu3Ti4O12/TGDDM
3,-0.6404532922205743,CaCu3Ti4O12/TGDDM
7,-1.021562676975692,CaCu3Ti4O12/TGDDM
8,-1.0655233084075075,CaCu3Ti4O12/TGDDM
16,-1.1487412637751493,CaCu3Ti4O12/TGDDM
17,-1.1509634284012253,CaCu3Ti4O12/TGDDM
4,-3.343666667393667,GO/TGDDM
5,-3.319837678713866,GO/TGDDM
6,-3.515089812419817,GO/TGDDM
10,-3.592626895185277,GO/TGDDM
17,-3.8243974573913686,GO/TGDDM
19,-3.8662167128215303,GO/TGDDM
1.2925658070239576,-4.2278398487686095,Magnesium oxide/TGDDM
2.333115403324051,-3.844311566210347,Magnesium oxide/TGDDM
6.0353369682880675,-0.5611023680645362,Magnesium oxide/TGDDM
12.32877194409868,-0.046919730388305325,Magnesium oxide/TGDDM
18.3205003116119,-144.26352158514342,Magnesium oxide/TGDDM
19.705562364340846,-537.6940317277475,Magnesium oxide/TGDDM
