Heat Treatment Temperature (°C),Compression Strength (MPa)
0,1.3338025287439126,0.83% 9-anthracenemethanol/Poly(tetrafluoroethylene)
3,2.4063994380212836,0.83% 9-anthracenemethanol/Poly(tetrafluoroethylene)
4,2.929703882585604,0.83% 9-anthracenemethanol/Poly(tetrafluoroethylene)
14,122.45528349945721,0.83% 9-anthracenemethanol/Poly(tetrafluoroethylene)
0,2.7874616471201663,0.3% 9-anthracenemethanol/Poly(tetrafluoroethylene)
3,2.0594320715988634,0.3% 9-anthracenemethanol/Poly(tetrafluoroethylene)
4,1.8437019032740345,0.3% 9-anthracenemethanol/Poly(tetrafluoroethylene)
14,1.6312929054165302,0.3% 9-anthracenemethanol/Poly(tetrafluoroethylene)
0,8.244265522174537,0.66% 9-anthracenemethanol/Poly(tetrafluoroethylene)
3,8.95526912324647,0.66% 9-anthracenemethanol/Poly(tetrafluoroethylene)
4,8.091997451263675,0.66% 9-anthracenemethanol/Poly(tetrafluoroethylene)
14,10.199983944828253,0.66% 9-anthracenemethanol/Poly(tetrafluoroethylene)
