Loading Concentration (%),Remanence (A/m)
1.4115641438586102,-6.276362698118481,Au/Nylon 11
1.431709607158631,-5.5410033314770555,Au/Nylon 11
6.566930748121658,0.5974325675839047,Au/Nylon 11
9.366353543878443,4.587049904462678,Au/Nylon 11
1.4115641438586102,-1.7853977934113199,Titanium dioxide/Nylon 11
1.431709607158631,-1.5902971885553798,Titanium dioxide/Nylon 11
6.566930748121658,-2.1568890830816416,Titanium dioxide/Nylon 11
9.366353543878443,-2.22569194222594,Titanium dioxide/Nylon 11
1.4115641438586102,8.354121612794877,OFG/Nylon 11
1.431709607158631,8.567585354271989,OFG/Nylon 11
6.566930748121658,8.866545101924144,OFG/Nylon 11
9.366353543878443,9.62648008200615,OFG/Nylon 11
1.4115641438586102,-0.49884058766775485,Poly(vinyl alcohol)/Nylon 11
1.431709607158631,-0.8666463898550258,Poly(vinyl alcohol)/Nylon 11
6.566930748121658,-1.2122327724586408,Poly(vinyl alcohol)/Nylon 11
9.366353543878443,-1.3095055327700698,Poly(vinyl alcohol)/Nylon 11
1.4115641438586102,-6.478469652849305,Clay/Nylon 11
1.431709607158631,-6.208779870108703,Clay/Nylon 11
6.566930748121658,-6.634467665342422,Clay/Nylon 11
9.366353543878443,-6.747744875653536,Clay/Nylon 11
