Particle Size (nm),Compressive Modulus (GPa)
6,15.570209487000396,0.16% Zirconium dioxide/PBTP
7,20.422963888077888,0.16% Zirconium dioxide/PBTP
9,16.855159233325182,0.16% Zirconium dioxide/PBTP
12,67.82721788725651,0.16% Zirconium dioxide/PBTP
16,164.079610255243,0.16% Zirconium dioxide/PBTP
17,18.60156357338647,0.16% Zirconium dioxide/PBTP
6,7.17486362202504,0.57% Zirconium dioxide/PBTP
7,7.2721855266589035,0.57% Zirconium dioxide/PBTP
9,7.11557673365611,0.57% Zirconium dioxide/PBTP
12,7.048712698208321,0.57% Zirconium dioxide/PBTP
16,6.917359365727458,0.57% Zirconium dioxide/PBTP
17,6.904212056792337,0.57% Zirconium dioxide/PBTP
6,1.7851813944657957,0.32% Zirconium dioxide/PBTP
7,0.3645132218485716,0.32% Zirconium dioxide/PBTP
9,1.2511301620562418,0.32% Zirconium dioxide/PBTP
12,-1.5461184736260334,0.32% Zirconium dioxide/PBTP
16,10.24440555986604,0.32% Zirconium dioxide/PBTP
17,11.358971887296416,0.32% Zirconium dioxide/PBTP
6,-3.4642508874433973,0.73% Zirconium dioxide/PBTP
7,-3.509207899974815,0.73% Zirconium dioxide/PBTP
9,-3.5570613822239987,0.73% Zirconium dioxide/PBTP
12,-3.592865475720379,0.73% Zirconium dioxide/PBTP
16,-3.613694450085678,0.73% Zirconium dioxide/PBTP
17,-3.616496922667515,0.73% Zirconium dioxide/PBTP
