EV (V),Remanence (A/m)
0,-5.410647076330708,Acrylonitrile butadiene styrene
6,-5.255404639369093,Acrylonitrile butadiene styrene
12,-5.527484648256796,Acrylonitrile butadiene styrene
15,-5.6238714793010836,Acrylonitrile butadiene styrene
17,-5.676955147867472,Acrylonitrile butadiene styrene
0,-6.396781029441754,PAM
6,-6.891869617098009,PAM
12,-7.053731962076336,PAM
15,-7.129845063461389,PAM
17,-7.187508000788222,PAM
0,6.418628146620289,Poly(vinyl alcohol)
6,7.645356801023851,Poly(vinyl alcohol)
12,6.20265316012517,Poly(vinyl alcohol)
15,6.344527468288191,Poly(vinyl alcohol)
17,10.957507391576108,Poly(vinyl alcohol)
0,-2.1865952188696047,poly-HEMA
6,-3.3131265272186265,poly-HEMA
12,-3.442408938367636,poly-HEMA
15,-3.455168922086715,poly-HEMA
17,-3.4606479869364524,poly-HEMA
