Crystallinity (%),Tan Delta
1.9896594835479142,-3.4656763153461174,P(VDF-CTFE)
2.372282681241289,-3.2819171171523633,P(VDF-CTFE)
10.303912239146843,-3.694715179252311,P(VDF-CTFE)
15.05123802460589,-3.8264257989228923,P(VDF-CTFE)
1.9896594835479142,-5.146295090167571,PA 12
2.372282681241289,-4.668365072263346,PA 12
10.303912239146843,6.677555020150926,PA 12
15.05123802460589,111.09377854460995,PA 12
1.9896594835479142,0.6094556230427834,Polyimide
2.372282681241289,0.790375121858782,Polyimide
10.303912239146843,4.169654580471573,Polyimide
15.05123802460589,5.817557556459798,Polyimide
1.9896594835479142,-3.14921567991584,Unsaturated polyester resin
2.372282681241289,-3.357341552357613,Unsaturated polyester resin
10.303912239146843,27.637969712468212,Unsaturated polyester resin
15.05123802460589,197.9757984693155,Unsaturated polyester resin
1.9896594835479142,1.2735196534611495,PAN
2.372282681241289,1.452752890198394,PAN
10.303912239146843,31.30051707851725,PAN
15.05123802460589,211.89193210977243,PAN
