Curing Time (min),Thermal Conductivity (W/(m·K))
4.436336954061111,2.6522106303793627,0.08% zirconium dioxide
7.325772008255875,4.369627136244267,0.08% zirconium dioxide
13.011337172858505,5.297847774858999,0.08% zirconium dioxide
14.783863890945145,5.884429904843257,0.08% zirconium dioxide
4.436336954061111,0.7649558215626813,0.29% zirconium dioxide
7.325772008255875,1.8237863420630607,0.29% zirconium dioxide
13.011337172858505,7.1023147036260506,0.29% zirconium dioxide
14.783863890945145,1.95989730692156,0.29% zirconium dioxide
4.436336954061111,6.334530605920331,0.37% zirconium dioxide
7.325772008255875,6.133543147158506,0.37% zirconium dioxide
13.011337172858505,5.960241211078588,0.37% zirconium dioxide
14.783863890945145,5.875528352221475,0.37% zirconium dioxide
4.436336954061111,-1.159658991312754,0.87% zirconium dioxide
7.325772008255875,6.48573568910278,0.87% zirconium dioxide
13.011337172858505,55.471204772149186,0.87% zirconium dioxide
14.783863890945145,104.77792070261611,0.87% zirconium dioxide
4.436336954061111,-3.5033978092403166,0.55% zirconium dioxide
7.325772008255875,3.785429303506886,0.55% zirconium dioxide
13.011337172858505,6.813990438026913,0.55% zirconium dioxide
14.783863890945145,54.053977028712076,0.55% zirconium dioxide
