Frequency (Hz),Flexural Modulus (GPa)
1.6106416164983184,-4.939954991794919,EPDM rubber
4.839750968162733,-4.621526245424982,EPDM rubber
8.332845173292409,-5.845563968701162,EPDM rubber
12.136870078917505,0.5566619712622298,EPDM rubber
1.6106416164983184,8.149372806985673,UPR
4.839750968162733,7.702142077302693,UPR
8.332845173292409,7.558586499617773,UPR
12.136870078917505,7.4972239811248835,UPR
1.6106416164983184,-6.410000277097419,PA 11
4.839750968162733,-6.811860012578351,PA 11
8.332845173292409,-6.93896896818895,PA 11
12.136870078917505,-6.99702619263664,PA 11
1.6106416164983184,0.5610478788850928,PMMA
4.839750968162733,0.6724818746665817,PMMA
8.332845173292409,1.1303091633014724,PMMA
12.136870078917505,-0.5861633668482513,PMMA
