Crystallinity (%),Compression Strength (MPa)
1,1.3327742503607602,0.37% high abrasion furnace black
3,1.3822473296295479,0.37% high abrasion furnace black
13,0.9889397012126342,0.37% high abrasion furnace black
16,0.9117631090840526,0.37% high abrasion furnace black
18,0.8661369481801129,0.37% high abrasion furnace black
1,-3.543657089401493,0.42% high abrasion furnace black
3,-3.871325107661554,0.42% high abrasion furnace black
13,-4.230727550998852,0.42% high abrasion furnace black
16,-4.242661574789783,0.42% high abrasion furnace black
18,-4.246157938830613,0.42% high abrasion furnace black
1,-4.153397262643097,0.01% high abrasion furnace black
3,-3.93272633953734,0.01% high abrasion furnace black
13,-4.881578189069309,0.01% high abrasion furnace black
16,-3.8115249350628475,0.01% high abrasion furnace black
18,2.3641608102700715,0.01% high abrasion furnace black
1,-3.4862600801144676,0.22% high abrasion furnace black
3,-3.5269426263057686,0.22% high abrasion furnace black
13,-1.1806001127547017,0.22% high abrasion furnace black
16,-6.980322371370551,0.22% high abrasion furnace black
18,-3.919287609047837,0.22% high abrasion furnace black
