Time (s),Shear Viscosity (Pa·s)
1,-5.65782964091555,0.86% silica nanoparticles/Poly(alpha-methylstyrene)
5,-5.690157912697815,0.86% silica nanoparticles/Poly(alpha-methylstyrene)
7,-5.820535222488326,0.86% silica nanoparticles/Poly(alpha-methylstyrene)
13,-6.0358713972632065,0.86% silica nanoparticles/Poly(alpha-methylstyrene)
0,1.7074736407042703,0.08% silica nanoparticles/Poly(alpha-methylstyrene)
3,1.263528108944459,0.08% silica nanoparticles/Poly(alpha-methylstyrene)
15,0.8664020457351066,0.08% silica nanoparticles/Poly(alpha-methylstyrene)
17,0.8614057738242451,0.08% silica nanoparticles/Poly(alpha-methylstyrene)
1,-3.4773677922326525,0.9% silica nanoparticles/Poly(alpha-methylstyrene)
9,7.301347502683571,0.9% silica nanoparticles/Poly(alpha-methylstyrene)
12,20.846234849902274,0.9% silica nanoparticles/Poly(alpha-methylstyrene)
15,34.60284633835436,0.9% silica nanoparticles/Poly(alpha-methylstyrene)
