Filler Content (%),Loss Factor
3.5808988991913404,5.299370535533895,Bentonite/Poly(acrylamide)
6.076567415138163,5.155206702035651,Bentonite/Poly(acrylamide)
13.786606271025212,5.033335118877537,Bentonite/Poly(acrylamide)
19.508778181594167,5.0193917645865795,Bentonite/Poly(acrylamide)
3.5808988991913404,7.697589534081557,clay/Poly(acrylamide)
6.076567415138163,7.552315760053018,clay/Poly(acrylamide)
13.786606271025212,7.401455412114842,clay/Poly(acrylamide)
19.508778181594167,7.388627622585874,clay/Poly(acrylamide)
3.5808988991913404,4.988346957775912,graphite/Poly(acrylamide)
6.076567415138163,6.127179860891019,graphite/Poly(acrylamide)
13.786606271025212,8.914535709966012,graphite/Poly(acrylamide)
19.508778181594167,754.6812046703883,graphite/Poly(acrylamide)
3.5808988991913404,1.9359622209820162,Barium strontium titanate/Poly(acrylamide)
6.076567415138163,1.6880834211703213,Barium strontium titanate/Poly(acrylamide)
13.786606271025212,1.516975137972022,Barium strontium titanate/Poly(acrylamide)
19.508778181594167,1.5034212243285736,Barium strontium titanate/Poly(acrylamide)
3.5808988991913404,-0.6629219366011601,zirconium dioxide/Poly(acrylamide)
6.076567415138163,-1.0798381204914107,zirconium dioxide/Poly(acrylamide)
13.786606271025212,4.879465423908969,zirconium dioxide/Poly(acrylamide)
19.508778181594167,10.902522443599208,zirconium dioxide/Poly(acrylamide)
