Mechanical Strength (MPa),Magnetization (A/m)
7.5724105032868305,7.407642870011119,PEMA
8.4136297050457,7.388249079181322,PEMA
12.714453500222193,7.328882290879994,PEMA
16.591050275953382,7.315792645757174,PEMA
17.17869548385799,7.315106053130217,PEMA
18.420529484726195,7.313045319854957,PEMA
7.5724105032868305,2.8564040042494323,PAM
8.4136297050457,2.8133576933099085,PAM
12.714453500222193,2.7602327125236705,PAM
16.591050275953382,2.746203255481341,PAM
17.17869548385799,2.744057294941507,PAM
18.420529484726195,2.7423115412665258,PAM
