Softening Temperature (°C),Ionic Conductivity (S/m)
1.4156974127446165,-0.9467366148956561,0.73% graphite (as received)
6.488660523210927,-1.091406410742204,0.73% graphite (as received)
11.15254340579517,-1.2672614612224693,0.73% graphite (as received)
14.705361928862658,-1.3669037980773857,0.73% graphite (as received)
15.07103399929639,-1.386321283417518,0.73% graphite (as received)
16.757370767486748,-1.410324159416513,0.73% graphite (as received)
16.817166286588424,-1.406747660874099,0.73% graphite (as received)
1.4156974127446165,-0.9448898767511507,0.86% graphite (as received)
6.488660523210927,4.774458935401542,0.86% graphite (as received)
11.15254340579517,41.4753299693733,0.86% graphite (as received)
14.705361928862658,136.5480542659298,0.86% graphite (as received)
15.07103399929639,23.167911246967783,0.86% graphite (as received)
16.757370767486748,-257.5687638238783,0.86% graphite (as received)
16.817166286588424,314.5661070398532,0.86% graphite (as received)
1.4156974127446165,-3.4028540082315684,0.87% graphite (as received)
6.488660523210927,-3.808725041111411,0.87% graphite (as received)
11.15254340579517,-3.9649065005388007,0.87% graphite (as received)
14.705361928862658,-4.0625428086809,0.87% graphite (as received)
15.07103399929639,-4.057379131371978,0.87% graphite (as received)
16.757370767486748,-4.099005905684933,0.87% graphite (as received)
16.817166286588424,-4.10589434889973,0.87% graphite (as received)
1.4156974127446165,-2.6811548749252943,0.26% graphite (as received)
6.488660523210927,-2.193103555218672,0.26% graphite (as received)
11.15254340579517,-0.03742064129157496,0.26% graphite (as received)
14.705361928862658,-1.753250534568131,0.26% graphite (as received)
15.07103399929639,5.450318691093589,0.26% graphite (as received)
16.757370767486748,6.631818528206475,0.26% graphite (as received)
16.817166286588424,11.074158828586786,0.26% graphite (as received)
1.4156974127446165,-4.560792738867428,0.36% graphite (as received)
6.488660523210927,-2.450874194808251,0.36% graphite (as received)
11.15254340579517,25.271804230508106,0.36% graphite (as received)
14.705361928862658,106.07584098054906,0.36% graphite (as received)
15.07103399929639,146.68382216846715,0.36% graphite (as received)
16.757370767486748,210.73973300779733,0.36% graphite (as received)
16.817166286588424,261.9502451052853,0.36% graphite (as received)
