Heat Treatment Time (h),Electrical Conductivity (S/m)
6.959549290529033,1.709216450111276,TGPAP
9.312850796097443,1.6525466228904993,TGPAP
14.358505561327785,1.6043272285416952,TGPAP
14.552207956029717,1.604261843674628,TGPAP
16.455471663175576,1.599187440542532,TGPAP
6.959549290529033,4.0332404745465205,Nylon 6T
9.312850796097443,21.76302435964969,Nylon 6T
14.358505561327785,55.650149852494415,Nylon 6T
14.552207956029717,45.81344477628047,Nylon 6T
16.455471663175576,28.30400963911236,Nylon 6T
6.959549290529033,6.688487964255987,PA 11
9.312850796097443,6.630535103141224,PA 11
14.358505561327785,6.577433686943355,PA 11
14.552207956029717,6.575513405784242,PA 11
16.455471663175576,6.570396093070887,PA 11
6.959549290529033,3.73777541444447,Poly(ethyl methacrylate)
9.312850796097443,3.617655391177743,Poly(ethyl methacrylate)
14.358505561327785,3.4398191278584678,Poly(ethyl methacrylate)
14.552207956029717,3.4173008323819594,Poly(ethyl methacrylate)
16.455471663175576,3.3831562907535346,Poly(ethyl methacrylate)
