Crosslinking Density (mol/m³),Magnetic Anisotropy (J/m³)
6.838777131541535,-5.627409467788871,0.06% OAPS/triglycidyl para-aminophenol
14.910724417964001,-3.086797708605527,0.06% OAPS/triglycidyl para-aminophenol
15.115951891026011,-9.761115905427804,0.06% OAPS/triglycidyl para-aminophenol
16.717786262885824,-12.105335571411219,0.06% OAPS/triglycidyl para-aminophenol
19.730690619338674,-11.104229694883578,0.06% OAPS/triglycidyl para-aminophenol
6.838777131541535,-4.5270183221136895,0.63% OAPS/triglycidyl para-aminophenol
14.910724417964001,-4.7658370197761775,0.63% OAPS/triglycidyl para-aminophenol
15.115951891026011,-4.764953701788793,0.63% OAPS/triglycidyl para-aminophenol
16.717786262885824,-4.797787491428585,0.63% OAPS/triglycidyl para-aminophenol
19.730690619338674,-4.8443976084057185,0.63% OAPS/triglycidyl para-aminophenol
