Incubation Temperature (°C),Particle Size Distribution
3.1931397548217744,-4.516087607988371,0.29% Paraffinum liquidum/Poly(propylene)
6.505393831007662,-3.2432535929962754,0.29% Paraffinum liquidum/Poly(propylene)
9.968819251780172,-2.532866578057546,0.29% Paraffinum liquidum/Poly(propylene)
16.561360762633697,6.418422788765184,0.29% Paraffinum liquidum/Poly(propylene)
19.833239967664824,6.425213708921223,0.29% Paraffinum liquidum/Poly(propylene)
5.446296199370835,3.8163693556759783,0.65% Paraffinum liquidum/Poly(propylene)
11.012290191004173,1.9067513254856472,0.65% Paraffinum liquidum/Poly(propylene)
12.034851841845168,10.64238843196379,0.65% Paraffinum liquidum/Poly(propylene)
12.250455281359383,4.73154302053336,0.65% Paraffinum liquidum/Poly(propylene)
17.47420279490887,-4.271982663259924,0.65% Paraffinum liquidum/Poly(propylene)
6,-4.367910318684511,0.89% Paraffinum liquidum/Poly(propylene)
9,-2.5005519749203184,0.89% Paraffinum liquidum/Poly(propylene)
15,4.671787758641642,0.89% Paraffinum liquidum/Poly(propylene)
16,1.3844327043589049,0.89% Paraffinum liquidum/Poly(propylene)
17,3.8213166664835736,0.89% Paraffinum liquidum/Poly(propylene)
6,0.8792522349394738,0.33% Paraffinum liquidum/Poly(propylene)
7,7.873990847977062,0.33% Paraffinum liquidum/Poly(propylene)
9,10.563223380506226,0.33% Paraffinum liquidum/Poly(propylene)
11,13.506259189893697,0.33% Paraffinum liquidum/Poly(propylene)
18,197.06796761474385,0.33% Paraffinum liquidum/Poly(propylene)
7.147564977624246,-7.318578790506447,0.29% Paraffinum liquidum/Poly(propylene)
7.180727711644446,-7.321051537004141,0.29% Paraffinum liquidum/Poly(propylene)
8.267245705029714,-7.365001876220019,0.29% Paraffinum liquidum/Poly(propylene)
9.461919283826868,-7.396864233301583,0.29% Paraffinum liquidum/Poly(propylene)
17.982496582860733,-7.637232467521648,0.29% Paraffinum liquidum/Poly(propylene)
