Film Thickness (µm),Shear Modulus (GPa)
1.113399605584724,-6.624580538332548,
1.9291005525894445,-6.73820162198822,
6.308702402574933,-7.1665209812050525,
11.842978322790952,-7.409369860749569,
15.25128094783986,-7.466460992424399,
18.235867531358817,-7.542823248977924,
1.113399605584724,6.692617852731729,
1.9291005525894445,6.518230948371819,
6.308702402574933,6.243191013255329,
11.842978322790952,6.020648398130366,
15.25128094783986,5.915434603337305,
18.235867531358817,5.8615318903513955,
1.113399605584724,6.647928140012052,
1.9291005525894445,6.467377280475046,
6.308702402574933,6.1434167009514615,
11.842978322790952,6.038020767209212,
15.25128094783986,6.0212391972335055,
18.235867531358817,6.014600195389715,
