Crystallization Temperature (°C),Electric Field Strength (V/m)
0,1.8196430534987718,bisphenol-A phthalonitrile resin
10,0.6663721398885541,bisphenol-A phthalonitrile resin
12,0.6489619182433741,bisphenol-A phthalonitrile resin
13,0.6399998109010245,bisphenol-A phthalonitrile resin
18,0.6240803602106468,bisphenol-A phthalonitrile resin
0,5.9378706407842765,TGDDM
10,5.145031621613712,TGDDM
12,5.1189033705029345,TGDDM
13,5.111378138945905,TGDDM
18,5.096647813794841,TGDDM
0,-5.230224759189067,PVDF
10,-2.2248464908784324,PVDF
12,-4.80314637410274,PVDF
13,-3.764791446540704,PVDF
18,-0.92861438320198,PVDF
