Strain,Oxidation Potential (V)
1.039833819312932,-0.1984704793784291,
2.3638482028368157,-0.28937362423263235,
3.08693036052603,-0.45354913305642525,
3.85016036499521,-0.6283198568330207,
18.623512075107396,-0.8940092675069379,
1.039833819312932,6.393674648920607,
2.3638482028368157,7.11087769868494,
3.08693036052603,6.829855231185968,
3.85016036499521,8.717082286989886,
18.623512075107396,315.9138529395139,
1.039833819312932,5.492913442552836,
2.3638482028368157,5.290117361993285,
3.08693036052603,5.250104968003541,
3.85016036499521,5.0659761781925985,
18.623512075107396,4.834233467408896,
