Drying Temperature (°C),Oxidation Potential (V)
2,-3.6939270590063837,PA 6T
3,-4.031478591119986,PA 6T
6,-4.232544059494557,PA 6T
8,-4.3418428170638474,PA 6T
11,-4.391958246696081,PA 6T
14,-4.4142602188774696,PA 6T
17,-4.421987147428574,PA 6T
2,4.296934409061416,P4VP
3,4.385013237903818,P4VP
6,5.935833901222688,P4VP
8,5.409893763903309,P4VP
11,4.183611388810381,P4VP
14,3.4512561968570634,P4VP
17,14.678314147071829,P4VP
2,0.03136142170140732,E-SBR
3,-0.016097296322331867,E-SBR
6,-0.2813574226700357,E-SBR
8,-0.36303030612553183,E-SBR
11,-0.422055016293401,E-SBR
14,-0.44290547630040955,E-SBR
17,-0.4519185056171158,E-SBR
