Volume Fraction (%),Polarization Resistance (Ω·m²)
1.3736197478994883,6.63989316882947,Polylactic acid
3.109858022910492,6.782691206914461,Polylactic acid
3.4357316927074133,6.868641968676558,Polylactic acid
6.2861177390656415,7.760134385875618,Polylactic acid
11.545943420571472,9.524007792446135,Polylactic acid
1.3736197478994883,4.328075397410666,Polybutadiene
3.109858022910492,4.33615598039262,Polybutadiene
3.4357316927074133,4.27950813389251,Polybutadiene
6.2861177390656415,3.9160376169318076,Polybutadiene
11.545943420571472,3.7221016528397137,Polybutadiene
1.3736197478994883,7.482773729118177,Nylon 66
3.109858022910492,7.864927208571687,Nylon 66
3.4357316927074133,7.295117366542522,Nylon 66
6.2861177390656415,8.614558228651887,Nylon 66
11.545943420571472,13.913602046754388,Nylon 66
1.3736197478994883,2.364310030181454,Poly(vinylidene fluoride)
3.109858022910492,2.4109590374854553,Poly(vinylidene fluoride)
3.4357316927074133,2.497209933994707,Poly(vinylidene fluoride)
6.2861177390656415,2.249544232225225,Poly(vinylidene fluoride)
11.545943420571472,2.1274459708868045,Poly(vinylidene fluoride)
