Thermal Diffusivity (mm²/s),Oxidation Potential (V)
5.305254799657291,5.803221541309289,graphene oxide/PBuA
5.371245271228857,5.839127085147127,graphene oxide/PBuA
14.252524685992412,5.6410535859120134,graphene oxide/PBuA
15.012177998728014,5.637983954485423,graphene oxide/PBuA
17.21301585653266,5.632872200587107,graphene oxide/PBuA
0.1753587729385564,-6.80387043070013,Molybdenum Disulphide/PBuA
4.930188492618079,-6.751332237158806,Molybdenum Disulphide/PBuA
11.126698723461498,-6.893449981391428,Molybdenum Disulphide/PBuA
13.644845601418387,-3.870509340258595,Molybdenum Disulphide/PBuA
19.77199258891791,9.427582544058573,Molybdenum Disulphide/PBuA
1.5535113994797567,6.287635335103182,Al2O3/PBuA
6.4583124813847315,10.395296914444573,Al2O3/PBuA
9.609738018603826,18.510640114185897,Al2O3/PBuA
11.807807818528175,51.788195370572836,Al2O3/PBuA
18.083738221395205,778.5499498027822,Al2O3/PBuA
4,5.1659115616655775,dodecylbenzene sulfonic acid/PBuA
6,4.5656080822916,dodecylbenzene sulfonic acid/PBuA
13,6.890120259433225,dodecylbenzene sulfonic acid/PBuA
14,8.4227436387822,dodecylbenzene sulfonic acid/PBuA
15,9.722238006152754,dodecylbenzene sulfonic acid/PBuA
