Pore Size (nm),Saturation Magnetization (A/m)
2,4.103289755109898,0.23% octyldimethylmethoxysilane/EPDM rubber
6,3.6213915922702338,0.23% octyldimethylmethoxysilane/EPDM rubber
7,3.5520552323120227,0.23% octyldimethylmethoxysilane/EPDM rubber
9,3.520934016921819,0.23% octyldimethylmethoxysilane/EPDM rubber
11,3.4321730420807977,0.23% octyldimethylmethoxysilane/EPDM rubber
15,3.3120835989689175,0.23% octyldimethylmethoxysilane/EPDM rubber
2,2.7082838933569735,0.25% octyldimethylmethoxysilane/EPDM rubber
6,3.0828735643875227,0.25% octyldimethylmethoxysilane/EPDM rubber
7,1.2120405378396832,0.25% octyldimethylmethoxysilane/EPDM rubber
9,4.069216625123733,0.25% octyldimethylmethoxysilane/EPDM rubber
11,3.917939341528306,0.25% octyldimethylmethoxysilane/EPDM rubber
15,8.13786275357742,0.25% octyldimethylmethoxysilane/EPDM rubber
