Stress (Pa),Melting Temperature (°C)
3,9.575302796603854,0.02% Calcium Carbonate/PA 8
4,9.969034754988165,0.02% Calcium Carbonate/PA 8
6,13.667900010364367,0.02% Calcium Carbonate/PA 8
10,37.783678510172074,0.02% Calcium Carbonate/PA 8
17,134.96162550692998,0.02% Calcium Carbonate/PA 8
2,-6.055936865566012,0.89% Calcium Carbonate/PA 8
12,-6.577062759808606,0.89% Calcium Carbonate/PA 8
14,-6.588372910721462,0.89% Calcium Carbonate/PA 8
15,-6.592698828355467,0.89% Calcium Carbonate/PA 8
17,-6.5976773174862755,0.89% Calcium Carbonate/PA 8
2.8953522072992333,11.363155214224221,0.38% Calcium Carbonate/PA 8
5.039943669940589,12.148931156191836,0.38% Calcium Carbonate/PA 8
7.637536027641816,16.057080394712745,0.38% Calcium Carbonate/PA 8
15.708841101744573,88.67140002327226,0.38% Calcium Carbonate/PA 8
17.454941718759834,-232.5033137745836,0.38% Calcium Carbonate/PA 8
3,1.5608445544101488,0.43% Calcium Carbonate/PA 8
4,0.3833657191459583,0.43% Calcium Carbonate/PA 8
8,3.70703732626831,0.43% Calcium Carbonate/PA 8
13,16.95720267222253,0.43% Calcium Carbonate/PA 8
19,725.1680088588721,0.43% Calcium Carbonate/PA 8
5,-0.333317264115232,0.17% Calcium Carbonate/PA 8
8,-0.22650130762247755,0.17% Calcium Carbonate/PA 8
9,-0.6884016477154828,0.17% Calcium Carbonate/PA 8
10,2.378052511265796,0.17% Calcium Carbonate/PA 8
19,-1.9384761427417159,0.17% Calcium Carbonate/PA 8
