Young’s Modulus (GPa),Charge Transfer Resistance (Ω·m²)
1,4.0075245657153,
7,5.489634183077161,
9,4.923813033271666,
10,4.321721051858697,
16,0.7377001579713012,
6.615841388988142,-4.8626539927874335,
7.359284826425001,-4.813500412701814,
16.68298130698574,-5.231298636505942,
18.332533803501164,-5.255585647223929,
19.92348696624938,-5.275801944883794,
5.052183769840049,-0.002760229504475742,
5.276382143245804,2.3560375261211957,
7.76378875157387,1.0653272628062462,
8.904321928435898,3.0266190219339637,
15.750213082313955,12.546317103379018,
1.292334448174457,3.0349415310881045,
3.2991618284915414,2.922329376446283,
5.899035944298228,2.7514528101388356,
12.939241622812215,2.605750924970137,
15.701619006544348,2.5949430585770155,
0,2.5174276503535404,
7,1.7695803195994726,
12,1.6881142226732728,
13,1.6810844783211154,
16,1.6698527833665358,
