Light Intensity (W/m²),Heat Of Fusion (J/g)
0.1685177946233707,-2.794104404900457,0.03% barium strontium titanate/PHFP
1.75375680789851,-2.2892250125507663,0.03% barium strontium titanate/PHFP
3.8357995054930805,-2.1622592772798668,0.03% barium strontium titanate/PHFP
18.05483520738896,3.970621706319135,0.03% barium strontium titanate/PHFP
0,6.393126709433618,0.29% barium strontium titanate/PHFP
2,5.91117749901102,0.29% barium strontium titanate/PHFP
7,5.601364772366185,0.29% barium strontium titanate/PHFP
10,5.538033297626432,0.29% barium strontium titanate/PHFP
3.3701985518571753,-0.17518885658051664,0.35% barium strontium titanate/PHFP
9.359903748936693,-0.3961339520559758,0.35% barium strontium titanate/PHFP
13.918575931542714,-0.5516788370190914,0.35% barium strontium titanate/PHFP
15.93240405318818,-0.590592192315101,0.35% barium strontium titanate/PHFP
0.36299932777581034,-6.318674920479802,0.37% barium strontium titanate/PHFP
2.9160383747129237,-6.633280349854207,0.37% barium strontium titanate/PHFP
6.952887559294794,-6.92996953208494,0.37% barium strontium titanate/PHFP
11.17957807173221,-7.011016245458496,0.37% barium strontium titanate/PHFP
8.15535467749185,-1.9325542662563846,0.02% barium strontium titanate/PHFP
8.40234017473618,-2.676003534674132,0.02% barium strontium titanate/PHFP
8.861932010666486,-3.8851403996216254,0.02% barium strontium titanate/PHFP
12.888169631154875,-2.808732496897444,0.02% barium strontium titanate/PHFP
