Hardness (HV),Shear Strength (MPa)
4.579544519083472,6.7948191694201885,PAN/PGMA
5.661181839815816,11.66837617058434,PAN/PGMA
9.319505240995882,18.609776038001762,PAN/PGMA
14.317934853545884,21.68843813190813,PAN/PGMA
17.44417509022496,-12.662847171614864,PAN/PGMA
4.579544519083472,-5.510291862886817,cellulose nanocrystals/PGMA
5.661181839815816,-5.578795214280574,cellulose nanocrystals/PGMA
9.319505240995882,-5.690283927946809,cellulose nanocrystals/PGMA
14.317934853545884,-5.7344454708302655,cellulose nanocrystals/PGMA
17.44417509022496,-5.742603679604241,cellulose nanocrystals/PGMA
