Solvent Concentration (M),Polarization Resistance (Ω·m²)
0,6.077608489005695,Silica/PLA
1,6.466953701883234,Silica/PLA
9,7.304604214506613,Silica/PLA
10,9.783875541996892,Silica/PLA
11,9.341155775488815,Silica/PLA
15,13.887938452553048,Silica/PLA
1.4099345469595748,2.9340356235024325,silica gel/PLA
3.0299587998226474,4.4835371782586595,silica gel/PLA
3.2879056460365508,4.918392033101665,silica gel/PLA
7.106500827864823,8.534344423801748,silica gel/PLA
9.84677361445354,17.07482651995222,silica gel/PLA
18.235588411696703,448.19399627663626,silica gel/PLA
1.5907804959588634,1.142606883231903,talc/PLA
6.465701675707729,0.7558112975191505,talc/PLA
16.059285628615932,0.6078878260102253,talc/PLA
17.39462988946367,0.6050622749621997,talc/PLA
19.206310973260624,0.6026174665288528,talc/PLA
19.653288350456354,0.6022052548692736,talc/PLA
