Tensile Strength (MPa),Heat Of Crystallization (J/g)
5.4219019739479934,13.308894812793895,
8.548057152126447,18.822379488393683,
8.95144184723635,15.558439360356626,
1.0861352829183324,5.900911696190088,
1.219492669868114,5.932255486303684,
11.395825356205801,5.2060333349217816,
4,0.965440456905569,
5,1.0234473140806404,
7,0.3905477735689813,
2.4878870538118103,-1.2219010446491771,
8.361697521584803,1.4626428102257645,
11.209426122106086,-0.2462280724790209,
2,1.4623638608124974,
8,18.880032610033297,
16,141.00006104661696,
