Stress (Pa),Tensile Strength (MPa)
0,-1.4650124827577653,CaCu3Ti4O12/XNBR
6,-2.041313592494488,CaCu3Ti4O12/XNBR
7,-2.060958690489561,CaCu3Ti4O12/XNBR
9,-2.117394626275166,CaCu3Ti4O12/XNBR
17,-2.180513419143286,CaCu3Ti4O12/XNBR
0,-1.5353791496563851,Molybdenum Disulfide/XNBR
6,5.476807320021136,Molybdenum Disulfide/XNBR
7,7.416387975032951,Molybdenum Disulfide/XNBR
9,10.16045959175677,Molybdenum Disulfide/XNBR
17,365.0483772631944,Molybdenum Disulfide/XNBR
0,-7.018893559491993,titanium dioxide/XNBR
6,-4.19808783312586,titanium dioxide/XNBR
7,2.1807096463414624,titanium dioxide/XNBR
9,7.803638337803566,titanium dioxide/XNBR
17,-235.77199608383177,titanium dioxide/XNBR
