Curing Time (min),Coercivity (A/m)
1.866460205267666,8.797751700787787,graphene platelets/Poly(acrylic acid)
5.02929569627276,9.712439446858944,graphene platelets/Poly(acrylic acid)
7.744593023329742,15.340440425862514,graphene platelets/Poly(acrylic acid)
8.829488214636783,21.89178922079495,graphene platelets/Poly(acrylic acid)
1.866460205267666,-3.687906651354056,Alumina/Poly(acrylic acid)
5.02929569627276,-3.8664780503920912,Alumina/Poly(acrylic acid)
7.744593023329742,-4.099233252973928,Alumina/Poly(acrylic acid)
8.829488214636783,-4.144587887296858,Alumina/Poly(acrylic acid)
1.866460205267666,-1.342363045160842,Polyaniline/Poly(acrylic acid)
5.02929569627276,-0.5761298450317947,Polyaniline/Poly(acrylic acid)
7.744593023329742,0.34042593207941785,Polyaniline/Poly(acrylic acid)
8.829488214636783,-1.9570812923617849,Polyaniline/Poly(acrylic acid)
