Evaporation Temperature (°C),Complex Viscosity (Pa·s)
4.948480974018574,6.5842324232134555,0.65% Silicon carbide
8.57846715067286,6.367022244787316,0.65% Silicon carbide
15.170313498394188,6.180738225121839,0.65% Silicon carbide
4.948480974018574,7.134717801849042,0.8% Silicon carbide
8.57846715067286,6.840264870389555,0.8% Silicon carbide
15.170313498394188,6.703696818568418,0.8% Silicon carbide
4.948480974018574,7.309656432091149,0.98% Silicon carbide
8.57846715067286,8.538602900589137,0.98% Silicon carbide
15.170313498394188,13.082346319828652,0.98% Silicon carbide
4.948480974018574,-6.063739492705581,0.49% Silicon carbide
8.57846715067286,-6.299480312682569,0.49% Silicon carbide
15.170313498394188,-6.416179384326773,0.49% Silicon carbide
