vol% (%),Thermal Resistance (K/W)
2,7.75917874157849,carbon nanotube/Poly(vinyl chloride)
5,7.5248499068446995,carbon nanotube/Poly(vinyl chloride)
12,7.2312926760164045,carbon nanotube/Poly(vinyl chloride)
16,7.121534844887622,carbon nanotube/Poly(vinyl chloride)
2,-1.9089507962614285,aluminum/Poly(vinyl chloride)
5,-1.987647717370121,aluminum/Poly(vinyl chloride)
12,0.1535185736769611,aluminum/Poly(vinyl chloride)
16,3.329096575989496,aluminum/Poly(vinyl chloride)
2,-5.112032653147759,White spirits/Poly(vinyl chloride)
5,-5.428685240624215,White spirits/Poly(vinyl chloride)
12,-5.662033057764824,White spirits/Poly(vinyl chloride)
16,-5.766130552636662,White spirits/Poly(vinyl chloride)
2,6.028198739744347,"Iron (II,III) Oxide/Poly(vinyl chloride)"
5,5.701292819176077,"Iron (II,III) Oxide/Poly(vinyl chloride)"
12,5.3298507168267495,"Iron (II,III) Oxide/Poly(vinyl chloride)"
16,5.264026879602039,"Iron (II,III) Oxide/Poly(vinyl chloride)"
