Frequency (Hz),Dynamic Viscosity (Pa·s)
0.38092325680935346,8.158567327424517,0.78% titanium dioxide
6.768584596750622,13.019614583266813,0.78% titanium dioxide
14.499507762832625,65.94456039036122,0.78% titanium dioxide
15.193491580185325,43.7315175960169,0.78% titanium dioxide
19.365774989884457,-105.36523930110498,0.78% titanium dioxide
0.38092325680935346,8.038678455084646,0.4% titanium dioxide
6.768584596750622,7.375049956156484,0.4% titanium dioxide
14.499507762832625,7.274626265457828,0.4% titanium dioxide
15.193491580185325,7.272108047545336,0.4% titanium dioxide
19.365774989884457,7.264844845070381,0.4% titanium dioxide
