Solvent Concentration (M),Magnetic Anisotropy (J/m³)
7.852918174194836,15.817268552470946,
13.14625666158712,-31.388969766951725,
17.032547959535187,223.81485849527468,
1.7452553441584562,-4.233233456326325,
13.724871346411797,-4.721182542397388,
17.043413405706616,-4.825657741179716,
1,0.8398205388516802,
10,0.10619225575039576,
13,0.013085916847320467,
11,42.80108449219882,
16,59.08308792488939,
19,243.5803719968138,
6.436491705200476,-4.7422470964854995,
6.735992849430945,-4.7449027524702085,
9.758629847269376,-6.41731855395421,
