Thickness (µm),Flexural Strength (MPa)
3,-4.842227179880968,0.07% Bentonite/Polybutadiene
11,-5.234944467640082,0.07% Bentonite/Polybutadiene
13,-5.253722841765888,0.07% Bentonite/Polybutadiene
14,-5.258642829337073,0.07% Bentonite/Polybutadiene
1,-0.21213639094735837,0.03% Bentonite/Polybutadiene
3,0.5396404442247307,0.03% Bentonite/Polybutadiene
14,151.50350831112522,0.03% Bentonite/Polybutadiene
17,165.1214314326682,0.03% Bentonite/Polybutadiene
5,6.117763722846534,0.16% Bentonite/Polybutadiene
11,2.1246146888850994,0.16% Bentonite/Polybutadiene
15,49.31764958328202,0.16% Bentonite/Polybutadiene
19,423.11608478319556,0.16% Bentonite/Polybutadiene
6.196391451337124,4.252992992858971,0.46% Bentonite/Polybutadiene
15.315646067721936,4.065480569085097,0.46% Bentonite/Polybutadiene
19.179579302534687,3.993806887862817,0.46% Bentonite/Polybutadiene
19.673817820838583,3.980871181328353,0.46% Bentonite/Polybutadiene
1.0422019393595439,5.222179278736147,0.07% Bentonite/Polybutadiene
1.753096708123576,5.90286119658456,0.07% Bentonite/Polybutadiene
16.117594380487372,12.083874423453928,0.07% Bentonite/Polybutadiene
19.754604552060254,7.6392263224532035,0.07% Bentonite/Polybutadiene
