Time (s),Toughness (MJ/m³)
0.3423526979719549,8.801846548624574,0.71% silver
13.729332690642053,13.216412000680311,0.71% silver
14.271351455135534,9.623783653296146,0.71% silver
17.745621534956577,10.706917826419716,0.71% silver
3,-7.376179384477347,0.61% silver
10,-7.6220427697592665,0.61% silver
17,-7.819912553857842,0.61% silver
18,-7.829475770281925,0.61% silver
2.228563834171875,-1.1472110728230769,0.6% silver
7.740300631959613,-1.3470051359408792,0.6% silver
16.804657487259814,-1.587389670349347,0.6% silver
16.847072989947186,-1.5999656646311118,0.6% silver
1,2.358515020736591,0.62% silver
5,4.346008298011801,0.62% silver
7,7.312880887636382,0.62% silver
19,604.6394965190567,0.62% silver
