Curing Time (min),Shear Viscosity (Pa·s)
0.19208463094190886,9.153159673104224,sodium montmorillonite/UPR
3.8878171713848086,9.162255076346584,sodium montmorillonite/UPR
4.348226094078136,9.081476619605855,sodium montmorillonite/UPR
5.107071035594728,8.931206076583399,sodium montmorillonite/UPR
6.7070651474831,10.174032943200496,sodium montmorillonite/UPR
13.893261333062165,10.84985142592068,sodium montmorillonite/UPR
0.19208463094190886,-2.710918921839804,Cellulose/UPR
3.8878171713848086,-2.713843890169685,Cellulose/UPR
4.348226094078136,-2.728399949743439,Cellulose/UPR
5.107071035594728,-2.815202961040826,Cellulose/UPR
6.7070651474831,-2.891526853668858,Cellulose/UPR
13.893261333062165,-3.190590875703709,Cellulose/UPR
