Synthesis Time (min),Coefficient Of Thermal Expansion (1/K)
5.776222439103873,5.341563518901807,ABS
10.527567256908046,5.195524699117948,ABS
13.281588900766558,5.173334094803384,ABS
5.776222439103873,-4.967816789336312,PBS
10.527567256908046,-5.156278364583955,PBS
13.281588900766558,-5.291957404858317,PBS
5.776222439103873,-5.149778473857058,EPDM
10.527567256908046,-5.329864632450625,EPDM
13.281588900766558,-5.392845283186563,EPDM
5.776222439103873,2.6533316251755616,Poly(ethyl acrylate)
10.527567256908046,2.502620689079426,Poly(ethyl acrylate)
13.281588900766558,2.4792308838360975,Poly(ethyl acrylate)
