Strain,Fracture Toughness (MPa·m^0.5)
5.322888785614904,-0.5443306538990322,0.87% Silicon dioxide/Polylactic acid
5.679085586058521,-0.5371371073273087,0.87% Silicon dioxide/Polylactic acid
18.226673019439794,-0.9583771153717332,0.87% Silicon dioxide/Polylactic acid
5.322888785614904,3.5871988964222425,0.05% Silicon dioxide/Polylactic acid
5.679085586058521,3.552575139416922,0.05% Silicon dioxide/Polylactic acid
18.226673019439794,3.3735760865190607,0.05% Silicon dioxide/Polylactic acid
5.322888785614904,1.641921302344452,0.29% Silicon dioxide/Polylactic acid
5.679085586058521,1.0222357640854467,0.29% Silicon dioxide/Polylactic acid
18.226673019439794,617.4303627991164,0.29% Silicon dioxide/Polylactic acid
5.322888785614904,5.429989203974437,0.6% Silicon dioxide/Polylactic acid
5.679085586058521,5.577443329180883,0.6% Silicon dioxide/Polylactic acid
18.226673019439794,5.214286502211943,0.6% Silicon dioxide/Polylactic acid
