Coefficient Of Thermal Expansion (1/K),Complex Viscosity (Pa·s)
6.121138677594098,3.5319418144271193,
6.354727721692415,3.3727561601397884,
10.661210514125521,3.2835595476102317,
16.292696110423567,3.1001536964029874,
16.511843806884347,3.1189954302445506,
6.121138677594098,-7.132231853412412,
6.354727721692415,-7.117676642210873,
10.661210514125521,-7.2470558176985405,
16.292696110423567,-7.279240238237125,
16.511843806884347,-7.28012408095061,
6.121138677594098,1.847318428543399,
6.354727721692415,0.22445867042523038,
10.661210514125521,2.5135093712860734,
16.292696110423567,10.686821492145231,
16.511843806884347,-2.2416667277542803,
6.121138677594098,1.5406608376987638,
6.354727721692415,1.5177469619056942,
10.661210514125521,1.4295821188351565,
16.292696110423567,1.396608450923322,
16.511843806884347,1.396224973595302,
