Nanoparticle Volume (%),Thermal Conductivity (W/(m·K))
12,4.774468447756858,TPU
17,4.689037166713935,TPU
18,4.670228288804131,TPU
12,-3.8247059310192864,PBA
17,-3.8466544990174225,PBA
18,-3.8484560196217688,PBA
12,69.91760307157574,PAA
17,334.5189315236622,PAA
18,280.01004583313335,PAA
12,-2.255944262074853,CAB
17,-2.3325372353029312,CAB
18,-2.347533273487947,CAB
12,2.0595918562859348,DGEBA Epoxy Resin
17,0.9639049785039226,DGEBA Epoxy Resin
18,24.72622546881322,DGEBA Epoxy Resin
