Ultrasound Time (min),Porosity (%)
6.496928807336049,-4.702223284265159,Poly(butylene terephthalate)
9.097735201042115,-3.679656516409713,Poly(butylene terephthalate)
9.207195255331627,-0.03365125745263153,Poly(butylene terephthalate)
19.207164849224345,4.352794743759377,Poly(butylene terephthalate)
6.496928807336049,5.11279303982559,Poly(benzoxazine)
9.097735201042115,9.054739416013474,Poly(benzoxazine)
9.207195255331627,4.795212649551664,Poly(benzoxazine)
19.207164849224345,5.094930468032293,Poly(benzoxazine)
6.496928807336049,8.410977838634647,PA 6(3)T
9.097735201042115,22.976537542272382,PA 6(3)T
9.207195255331627,31.319978164290568,PA 6(3)T
19.207164849224345,-215.01588402342026,PA 6(3)T
6.496928807336049,1.3086946649965672,CNBR
9.097735201042115,3.3328243103832786,CNBR
9.207195255331627,5.850675637812371,CNBR
19.207164849224345,-8.619686453248457,CNBR
6.496928807336049,3.7432175776995766,PMA
9.097735201042115,6.280072496036268,PMA
9.207195255331627,2.070401173959795,PMA
19.207164849224345,4.548337843131034,PMA
