Crosslinking Density (mol/m³),Polarization Resistance (Ω·m²)
8,11.300886863865419,
11,15.052977829548336,
12,91.98524198654738,
13,60.48170477069321,
4.780841893020035,-5.953121655617274,
5.30474516356499,-6.21137993239159,
8.219405002604244,-6.2450910558918284,
13.556071128179854,-6.4563123007488725,
0,-1.842746844531143,
6,-1.1003796540139044,
8,-1.547844213801791,
19,-4.528695625396551,
3,-4.807206341348353,
4,-5.1042648428336435,
5,-4.988147553167902,
12,-5.357139314038239,
0,-4.250662763510418,
1,-3.548571528414914,
9,11.31869039852806,
15,120.60095714159684,
