Synthesis Temperature (°C),Viscosity (Pa·s)
4,9.318498957518022,Poly(styrene-b-butadiene)
7,7.576005251303452,Poly(styrene-b-butadiene)
16,18.132432860517135,Poly(styrene-b-butadiene)
17,15.224772893886056,Poly(styrene-b-butadiene)
19,4.139759756621551,Poly(styrene-b-butadiene)
4,3.1313270184629314,VER
7,2.9955082209618396,VER
16,2.724636463399925,VER
17,2.690191423828782,VER
19,2.6688946667827853,VER
4,-4.3645138958158425,XNBR
7,-4.579857559119711,XNBR
16,-4.704088772044295,XNBR
17,-4.7064910751699545,XNBR
19,-4.709223304593549,XNBR
4,-6.007099515561669,PUR
7,-6.67711681261777,PUR
16,0.4451550291574087,PUR
17,-2.099159704184463,PUR
19,7.65715207029354,PUR
