Film Thickness (µm),Thermal Diffusivity (mm²/s)
3.2159287924364466,3.6245230475848587,Polybenzimidazole
6.370014242267759,3.362205635414864,Polybenzimidazole
7.185878155001064,3.28575419332727,Polybenzimidazole
17.368302171835907,3.1991106023535485,Polybenzimidazole
3.2159287924364466,7.163305425828276,Bisphenol E cyanate ester resin
6.370014242267759,7.030383471609141,Bisphenol E cyanate ester resin
7.185878155001064,7.112777099710316,Bisphenol E cyanate ester resin
17.368302171835907,6.732837164498047,Bisphenol E cyanate ester resin
3.2159287924364466,-6.043949028831207,PMMA-PnBA-PMMA
6.370014242267759,-6.398824259104616,PMMA-PnBA-PMMA
7.185878155001064,-6.412383236352155,PMMA-PnBA-PMMA
17.368302171835907,-6.521708733838918,PMMA-PnBA-PMMA
3.2159287924364466,2.0695258377478827,PCL
6.370014242267759,1.7821681850072748,PCL
7.185878155001064,1.7977832603472188,PCL
17.368302171835907,1.4355152667084945,PCL
3.2159287924364466,9.67698299260466,Polyimide
6.370014242267759,11.106395903168211,Polyimide
7.185878155001064,17.999125583328414,Polyimide
17.368302171835907,-85.55529266510277,Polyimide
