Coefficient Of Thermal Expansion (1/K),Poisson’s Ratio
3,-0.7272229595404156,IMPP
6,-0.9475940982883401,IMPP
17,-1.105049055729971,IMPP
3,7.169761009830716,PC
6,6.98078880858385,PC
17,6.834593483793461,PC
3,-2.6186355166524957,PAMS
6,1.3770222011721671,PAMS
17,-44.15162605191728,PAMS
3,1.8245359413238194,Poly(styrene-co-acrylonitrile)
6,4.28866630961959,Poly(styrene-co-acrylonitrile)
17,305.9038121325261,Poly(styrene-co-acrylonitrile)
3,-3.2962788063791804,PVP
6,-3.464578586531556,PVP
17,-3.8898717307971693,PVP
