Thermal Conductivity (W/(m·K)),Poisson’s Ratio
4,-1.584072614223444,0.68% PVA/TGPAP
5,-1.335995326648688,0.68% PVA/TGPAP
9,-0.48597602185758504,0.68% PVA/TGPAP
12,-0.32932561198320176,0.68% PVA/TGPAP
16,9.474585708180168,0.68% PVA/TGPAP
4,7.386808916166902,0.57% PVA/TGPAP
5,7.274303097748977,0.57% PVA/TGPAP
9,7.111347424846048,0.57% PVA/TGPAP
12,7.058775040395073,0.57% PVA/TGPAP
16,7.041063836286633,0.57% PVA/TGPAP
4,7.3681298146809615,0.73% PVA/TGPAP
5,9.569981012340882,0.73% PVA/TGPAP
9,22.912433764849595,0.73% PVA/TGPAP
12,45.55773836318134,0.73% PVA/TGPAP
16,238.83834947638582,0.73% PVA/TGPAP
4,4.493822729298709,0.2% PVA/TGPAP
5,4.3940938824115126,0.2% PVA/TGPAP
9,4.2410043563774105,0.2% PVA/TGPAP
12,4.196714503425823,0.2% PVA/TGPAP
16,4.176104446204889,0.2% PVA/TGPAP
4,7.559499175874351,0.95% PVA/TGPAP
5,7.484817092599094,0.95% PVA/TGPAP
9,7.351025674447848,0.95% PVA/TGPAP
12,7.308372236839656,0.95% PVA/TGPAP
16,7.290872420703807,0.95% PVA/TGPAP
