Tensile Strength (MPa),Zeta Potential (mV)
5.266457050330883,4.540773442188799,0.34% graphite oxide/Poly(bisphenol A carbonate)
7.48145538192399,7.349615142102696,0.34% graphite oxide/Poly(bisphenol A carbonate)
8.726729105855346,3.5708859575730347,0.34% graphite oxide/Poly(bisphenol A carbonate)
17.064188162648072,10.273105745384358,0.34% graphite oxide/Poly(bisphenol A carbonate)
19.739191278350493,16.40846353466455,0.34% graphite oxide/Poly(bisphenol A carbonate)
5.266457050330883,-1.7221823494659318,0.12% graphite oxide/Poly(bisphenol A carbonate)
7.48145538192399,-0.5358579958969889,0.12% graphite oxide/Poly(bisphenol A carbonate)
8.726729105855346,-0.7028127305809888,0.12% graphite oxide/Poly(bisphenol A carbonate)
17.064188162648072,2.7007696009230058,0.12% graphite oxide/Poly(bisphenol A carbonate)
19.739191278350493,15.033319390852865,0.12% graphite oxide/Poly(bisphenol A carbonate)
