Thermal Diffusivity (mm²/s),Compression Strength (MPa)
2.770960635486679,0.7822003943555942,0.59% Zinc oxide/P2VP
4.186266586984737,1.9985460823963854,0.59% Zinc oxide/P2VP
6.019220791491204,2.4536585044619748,0.59% Zinc oxide/P2VP
6.114763040712862,1.6055271103906226,0.59% Zinc oxide/P2VP
10.825228826265246,3.6132372825353376,0.59% Zinc oxide/P2VP
2.770960635486679,-0.7819803332971496,0.66% Zinc oxide/P2VP
4.186266586984737,-0.3477053301535351,0.66% Zinc oxide/P2VP
6.019220791491204,-0.9903118227875648,0.66% Zinc oxide/P2VP
6.114763040712862,-0.9339987234493299,0.66% Zinc oxide/P2VP
10.825228826265246,1.8676926943777845,0.66% Zinc oxide/P2VP
2.770960635486679,-0.3682972018468875,0.05% Zinc oxide/P2VP
4.186266586984737,1.591222334151019,0.05% Zinc oxide/P2VP
6.019220791491204,-0.576525556780938,0.05% Zinc oxide/P2VP
6.114763040712862,4.075332459338586,0.05% Zinc oxide/P2VP
10.825228826265246,8.029926512240413,0.05% Zinc oxide/P2VP
2.770960635486679,3.3425140549132992,0.67% Zinc oxide/P2VP
4.186266586984737,3.1937391026118136,0.67% Zinc oxide/P2VP
6.019220791491204,3.0311783418932112,0.67% Zinc oxide/P2VP
6.114763040712862,3.1873578171717067,0.67% Zinc oxide/P2VP
10.825228826265246,2.785274168418458,0.67% Zinc oxide/P2VP
2.770960635486679,1.0761521454442826,0.76% Zinc oxide/P2VP
4.186266586984737,1.5334805657099042,0.76% Zinc oxide/P2VP
6.019220791491204,1.6367656728703208,0.76% Zinc oxide/P2VP
6.114763040712862,2.9547633744972677,0.76% Zinc oxide/P2VP
10.825228826265246,1.3983863832722316,0.76% Zinc oxide/P2VP
