Tensile Strength (MPa),Particle Size Distribution
2.5148875330097753,-4.419474603499417,
3.971929938764651,-4.443481538639305,
8.110848808545823,-4.370049320271042,
8.255239226867664,-1.6094454881478688,
13.807588055570932,-1.4514985717296556,
17.196541084233456,-0.8352681945205402,
2,5.264209405873928,
3,5.082394100698849,
9,4.869774335050593,
13,4.687679043748582,
14,4.700168602731738,
15,4.635814629172629,
0.8982696200989881,4.661417560116387,
0.9719684312206844,4.6196923553255544,
1.2009937583491515,4.788844779996011,
8.424949987419543,16.595234624751853,
13.188342571265231,69.12938592064596,
18.257428244227444,438.751111052878,
1,8.677195294059795,
7,8.207808524262996,
14,7.994471104551579,
16,7.940273387152435,
17,7.926089809301547,
18,7.916756027481011,
4.999879604008766,5.1362475929212925,
5.15802168341277,5.155864462772213,
5.6289378540275425,5.096867362540502,
8.669235638397023,4.954433885683941,
13.441400196363873,4.805497833656769,
16.30446082964651,4.750101801741701,
