Calcination Time (h),Particle Size Distribution
6.141170860376317,9.606277515524473,0.21% Paraffin oil
13.577202573776134,115.87948547079122,0.21% Paraffin oil
17.032246289540037,91.0102789381415,0.21% Paraffin oil
17.29099111472211,278.58649796650786,0.21% Paraffin oil
17.46419281162983,200.3679095702506,0.21% Paraffin oil
19.133017685614007,445.6217279603548,0.21% Paraffin oil
6.141170860376317,7.550446370709006,0.17% Paraffin oil
13.577202573776134,7.238395355264853,0.17% Paraffin oil
17.032246289540037,7.15860071236069,0.17% Paraffin oil
17.29099111472211,7.166453299909197,0.17% Paraffin oil
17.46419281162983,7.1620236245957525,0.17% Paraffin oil
19.133017685614007,7.13107148447781,0.17% Paraffin oil
6.141170860376317,9.05416039258883,0.35% Paraffin oil
13.577202573776134,10.904693751644734,0.35% Paraffin oil
17.032246289540037,7.707748578087981,0.35% Paraffin oil
17.29099111472211,10.7361101662225,0.35% Paraffin oil
17.46419281162983,12.738723213734003,0.35% Paraffin oil
19.133017685614007,11.573075618316015,0.35% Paraffin oil
6.141170860376317,2.5547381310707014,0.05% Paraffin oil
13.577202573776134,1.5935780203214267,0.05% Paraffin oil
17.032246289540037,7.247213947970874,0.05% Paraffin oil
17.29099111472211,1.9578288875921364,0.05% Paraffin oil
17.46419281162983,13.65192227537528,0.05% Paraffin oil
19.133017685614007,1.0469366718179334,0.05% Paraffin oil
