Calcination Time (h),Zeta Potential (mV)
5.793948046032424,2.8755977970120803,SWCNTs/Thermoplastic polyurethane
12.523869000367991,24.616199875673914,SWCNTs/Thermoplastic polyurethane
15.51763622372237,168.215029596807,SWCNTs/Thermoplastic polyurethane
18.159520422214435,45.544749797618465,SWCNTs/Thermoplastic polyurethane
18.861656746480026,510.18093379475897,SWCNTs/Thermoplastic polyurethane
19.10085411450497,964.9191739968426,SWCNTs/Thermoplastic polyurethane
5.793948046032424,4.947344862736858,multi-walled CNTs/Thermoplastic polyurethane
12.523869000367991,9.174923096355101,multi-walled CNTs/Thermoplastic polyurethane
15.51763622372237,4.199557341270217,multi-walled CNTs/Thermoplastic polyurethane
18.159520422214435,4.193474413011932,multi-walled CNTs/Thermoplastic polyurethane
18.861656746480026,16.88184839268363,multi-walled CNTs/Thermoplastic polyurethane
19.10085411450497,2.321641419741601,multi-walled CNTs/Thermoplastic polyurethane
5.793948046032424,6.121917383994785,titania/Thermoplastic polyurethane
12.523869000367991,5.949391653780253,titania/Thermoplastic polyurethane
15.51763622372237,5.9378797413291755,titania/Thermoplastic polyurethane
18.159520422214435,5.932573041952706,titania/Thermoplastic polyurethane
18.861656746480026,5.931900406157241,titania/Thermoplastic polyurethane
19.10085411450497,5.931597388684966,titania/Thermoplastic polyurethane
5.793948046032424,7.06446564438452,Poly(vinyl alcohol)/Thermoplastic polyurethane
12.523869000367991,6.7311396622555195,Poly(vinyl alcohol)/Thermoplastic polyurethane
15.51763622372237,6.67718943828047,Poly(vinyl alcohol)/Thermoplastic polyurethane
18.159520422214435,6.637000735759639,Poly(vinyl alcohol)/Thermoplastic polyurethane
18.861656746480026,6.629061941160899,Poly(vinyl alcohol)/Thermoplastic polyurethane
19.10085411450497,6.609162093854821,Poly(vinyl alcohol)/Thermoplastic polyurethane
