Aspect Ratio,Reduction Potential (V)
3.2565658518563367,2.462119819849948,cellulose nanowhiskers/Poly(acrylic acid)
5.006298325579928,5.63736162469217,cellulose nanowhiskers/Poly(acrylic acid)
7.256392301896099,14.879452637497172,cellulose nanowhiskers/Poly(acrylic acid)
10.982740747327618,53.54198033375745,cellulose nanowhiskers/Poly(acrylic acid)
3.2565658518563367,-0.5149075144537647,montmorillonite/Poly(acrylic acid)
5.006298325579928,2.413758216251706,montmorillonite/Poly(acrylic acid)
7.256392301896099,10.11342409405897,montmorillonite/Poly(acrylic acid)
10.982740747327618,26.308374459598664,montmorillonite/Poly(acrylic acid)
3.2565658518563367,0.2879195270931689,Lead(II) sulfide/Poly(acrylic acid)
5.006298325579928,0.14960934349545785,Lead(II) sulfide/Poly(acrylic acid)
7.256392301896099,-0.07095215166947755,Lead(II) sulfide/Poly(acrylic acid)
10.982740747327618,-0.17467448105675948,Lead(II) sulfide/Poly(acrylic acid)
3.2565658518563367,1.8279733609862197,MMT/Poly(acrylic acid)
5.006298325579928,1.945270624469317,MMT/Poly(acrylic acid)
7.256392301896099,2.279703632433093,MMT/Poly(acrylic acid)
10.982740747327618,0.19087028226572045,MMT/Poly(acrylic acid)
3.2565658518563367,7.1720072948449625,Copper(II) phenyl phosphate/Poly(acrylic acid)
5.006298325579928,6.912053292423574,Copper(II) phenyl phosphate/Poly(acrylic acid)
7.256392301896099,6.856923349958291,Copper(II) phenyl phosphate/Poly(acrylic acid)
10.982740747327618,6.775928445339627,Copper(II) phenyl phosphate/Poly(acrylic acid)
