Mixing Time (min),Electric Field Strength (V/m)
4.160486369663934,4.698397309106664,Graphene oxide/PEKK
5.915324678798006,4.533399478307975,Graphene oxide/PEKK
8.10661521086067,4.455435832223912,Graphene oxide/PEKK
15.134822409622108,4.366180705375903,Graphene oxide/PEKK
17.994259019987513,4.360717175802502,Graphene oxide/PEKK
4.160486369663934,5.935675661260963,calcium copper titanate/PEKK
5.915324678798006,5.8598442238726145,calcium copper titanate/PEKK
8.10661521086067,5.72014517259899,calcium copper titanate/PEKK
15.134822409622108,5.513461274613555,calcium copper titanate/PEKK
17.994259019987513,5.468265998526886,calcium copper titanate/PEKK
4.160486369663934,6.106967715484253,Carbon Black/PEKK
5.915324678798006,5.996275092098131,Carbon Black/PEKK
8.10661521086067,5.9069645249046765,Carbon Black/PEKK
15.134822409622108,5.839492747227823,Carbon Black/PEKK
17.994259019987513,5.833841723088335,Carbon Black/PEKK
