Tensile Strength (MPa),Reduction Potential (V)
3,-5.1148087822078905,0.68% Calcium copper titanate/PET
9,-0.7066420308363668,0.68% Calcium copper titanate/PET
10,10.993979512353325,0.68% Calcium copper titanate/PET
3,0.1259334216912058,0.68% Calcium copper titanate/PET
9,18.102349518360008,0.68% Calcium copper titanate/PET
10,48.70168242048608,0.68% Calcium copper titanate/PET
3,-0.015137735388336293,0.57% Calcium copper titanate/PET
9,-0.17282471117048864,0.57% Calcium copper titanate/PET
10,-0.2002351417078676,0.57% Calcium copper titanate/PET
3,-0.5932651125625539,0.75% Calcium copper titanate/PET
9,-0.9700876366318603,0.75% Calcium copper titanate/PET
10,-0.9833692634465434,0.75% Calcium copper titanate/PET
