Mechanical Strength (MPa),Electronic Conductivity (S/m)
2.9019410362647613,5.158876584469836,0.9% Calcium Carbonate/PAM
5.143931700742965,4.7676700129482175,0.9% Calcium Carbonate/PAM
6.0363792243145635,4.821951259609086,0.9% Calcium Carbonate/PAM
6.332563458830698,4.840886284203384,0.9% Calcium Carbonate/PAM
10.714916623690351,4.6287122212683975,0.9% Calcium Carbonate/PAM
18.486864355872676,4.442093930622613,0.9% Calcium Carbonate/PAM
19.715509637079272,4.419906604352517,0.9% Calcium Carbonate/PAM
2.9019410362647613,0.044383382952190464,0.61% Calcium Carbonate/PAM
5.143931700742965,-0.6395556199676351,0.61% Calcium Carbonate/PAM
6.0363792243145635,0.5161357645024216,0.61% Calcium Carbonate/PAM
6.332563458830698,-0.4325932228341949,0.61% Calcium Carbonate/PAM
10.714916623690351,-1.164769328886996,0.61% Calcium Carbonate/PAM
18.486864355872676,6.691702906501657,0.61% Calcium Carbonate/PAM
19.715509637079272,2.6310657924276537,0.61% Calcium Carbonate/PAM
2.9019410362647613,-0.28903708976051407,0.26% Calcium Carbonate/PAM
5.143931700742965,-0.4974741121460166,0.26% Calcium Carbonate/PAM
6.0363792243145635,-0.5339627644582216,0.26% Calcium Carbonate/PAM
6.332563458830698,-0.5876729441502602,0.26% Calcium Carbonate/PAM
10.714916623690351,-0.6656046153656523,0.26% Calcium Carbonate/PAM
18.486864355872676,-0.6968611054451512,0.26% Calcium Carbonate/PAM
19.715509637079272,-0.6978783900083022,0.26% Calcium Carbonate/PAM
2.9019410362647613,8.3427352931607,0.93% Calcium Carbonate/PAM
5.143931700742965,9.1003099130069,0.93% Calcium Carbonate/PAM
6.0363792243145635,9.48600937709277,0.93% Calcium Carbonate/PAM
6.332563458830698,8.561058049864085,0.93% Calcium Carbonate/PAM
10.714916623690351,10.852112487846203,0.93% Calcium Carbonate/PAM
18.486864355872676,20.197361848132005,0.93% Calcium Carbonate/PAM
19.715509637079272,16.334490910312404,0.93% Calcium Carbonate/PAM
2.9019410362647613,6.485394902262894,0.78% Calcium Carbonate/PAM
5.143931700742965,6.26688729840008,0.78% Calcium Carbonate/PAM
6.0363792243145635,6.2185398135557906,0.78% Calcium Carbonate/PAM
6.332563458830698,6.20076841431124,0.78% Calcium Carbonate/PAM
10.714916623690351,6.093291999259968,0.78% Calcium Carbonate/PAM
18.486864355872676,6.053593012419523,0.78% Calcium Carbonate/PAM
19.715509637079272,6.052389630171555,0.78% Calcium Carbonate/PAM
